ID,Q1SA,Q2SM,Q3RM,Q4SM,Q5RM,Q6SOA,Q7RM,Q8SOA,Q9SOA,Q10SA,Q11SA,Q12SM,Q13RM,Q14SOA,Q15SA,Q16SA,Q17SM
P1,4,3,3,2,4,4,3,4,3,2,3,4,4,3,4,4,5
P2,2,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4
P3,2,3,2,3,4,4,4,3,4,3,3,4,5,1,4,3,4
P4,3,4,2,4,1,1,2,5,4,4,4,4,2,3,1,1,1
P5,4,1,3,1,2,4,4,5,4,5,4,4,3,4,2,4,4
P6,4,4,2,2,3,5,4,4,3,4,4,4,5,2,4,4,5
P7,4,3,4,2,2,4,4,4,4,3,4,4,4,2,4,4,4
P8,2,2,4,4,2,4,2,2,2,4,4,5,4,2,2,2,4
P9,3,3,3,3,4,2,3,3,4,3,4,4,3,3,4,3,4
P10,3,2,4,4,5,4,3,4,4,3,3,5,4,3,4,4,4
P11,2,2,5,4,2,4,3,3,3,4,2,4,4,2,4,4,5
P12,4,2,3,2,2,5,4,4,2,4,4,4,4,2,2,4,4
P13,2,2,4,4,3,3,4,3,4,4,4,4,4,3,2,2,4
P14,4,3,4,2,2,4,3,4,4,3,4,4,4,3,2,2,4
P15,2,2,4,2,1,4,4,4,4,4,4,5,4,2,2,2,5
P16,4,2,2,2,3,3,3,4,4,3,3,4,4,3,3,3,4
P17,2,4,5,5,4,5,5,4,5,3,3,5,5,2,3,3,5
P18,5,1,3,2,1,3,3,2,3,2,2,1,3,1,2,3,5
P19,4,3,4,3,4,4,4,3,3,2,4,4,2,3,4,3,4
P20,4,2,5,2,3,5,4,3,3,5,5,5,4,3,4,5,5
P21,2,4,3,2,2,4,3,4,4,3,2,3,4,2,2,2,4
P22,4,1,3,3,1,5,4,3,3,2,3,5,4,1,3,3,5
P23,4,2,4,4,3,4,4,4,4,3,3,4,4,2,4,4,4
P24,2,2,4,2,1,4,3,3,3,3,3,4,4,2,3,3,4
P25,5,4,5,4,4,4,3,4,5,2,2,4,4,2,2,4,4
P26,4,3,3,2,2,4,2,3,3,4,4,5,4,2,3,4,4
P27,3,4,5,1,3,5,5,3,3,2,2,3,5,1,4,4,5
P28,4,1,2,2,3,4,2,3,3,4,4,5,4,5,1,1,3
P29,3,3,4,3,5,5,5,4,4,3,3,5,5,2,3,4,5
P30,1,5,5,2,5,5,5,1,1,5,5,5,5,1,5,5,5
P31,2,4,4,1,2,4,3,4,4,4,4,5,3,3,4,2,4
P32,2,4,4,4,4,4,4,4,4,2,2,4,3,2,4,4,4
P33,4,3,3,2,2,3,3,2,2,4,4,5,4,2,2,4,4
P34,2,3,4,2,2,5,4,4,4,2,2,5,4,1,3,4,4
P35,2,4,4,4,4,5,3,4,4,2,2,4,4,3,4,4,5
P36,5,2,2,2,3,3,3,4,3,2,2,4,3,2,2,2,4
P37,5,2,4,2,1,4,5,5,5,3,3,2,3,2,4,4,5
P38,4,3,5,5,4,5,3,3,3,4,3,5,5,2,3,3,4
P39,4,3,2,2,4,2,2,4,4,2,4,2,5,4,2,4,4
P40,4,5,4,3,4,5,4,4,2,4,2,5,5,3,4,5,5
P41,2,4,4,3,4,3,2,2,2,4,4,4,4,2,2,2,4
P42,4,2,3,3,2,3,2,4,4,4,4,3,2,3,2,3,4
P43,2,2,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4
P44,2,4,4,4,4,4,4,2,2,4,4,5,4,2,2,2,4
P45,3,4,4,3,4,5,2,4,3,5,5,5,4,3,1,2,2
P46,2,2,3,1,4,,2,5,4,4,4,5,4,3,3,3,4
P47,4,4,4,4,4,4,4,4,4,5,4,2,3,2,2,2,5
P48,4,3,3,4,4,3,3,4,4,4,4,3,4,3,2,2,3
P49,2,4,4,5,4,4,3,4,4,2,4,4,4,2,5,4,5
P50,4,2,4,4,4,4,2,3,4,4,2,4,4,4,4,4,4
P51,4,3,2,3,3,3,4,4,4,3,5,5,4,2,2,3,4
P52,2,2,5,4,3,3,4,4,4,4,3,4,4,2,4,4,4
P53,1,5,4,4,5,4,4,4,4,1,1,5,5,1,3,3,4
P54,2,3,4,4,4,4,3,4,3,4,4,4,4,4,2,4,4
P55,3,2,4,2,5,5,4,4,4,5,5,4,5,1,4,2,5
P56,2,4,5,4,4,4,2,3,4,4,4,5,4,2,2,2,4
P57,3,2,2,4,2,4,3,4,4,4,4,4,4,3,2,4,4
P58,4,2,2,3,4,4,4,4,2,2,2,4,4,2,3,3,4
P59,5,4,5,5,5,4,3,4,4,5,4,5,5,3,3,3,3
P60,2,2,4,3,4,4,4,4,3,4,5,5,5,2,2,2,3
P61,4,2,5,2,2,4,3,4,4,4,4,5,5,4,3,3,4
P62,2,2,3,4,4,4,5,3,2,3,4,5,5,1,3,4,5
P63,,3,4,4,3,4,4,3,2,3,4,3,4,3,3,3,4
P64,4,2,4,4,2,4,4,4,4,2,4,5,4,2,4,4,4
P65,2,2,4,4,4,4,2,2,2,4,4,4,4,3,2,3,4
P66,4,1,3,2,1,4,4,2,2,2,2,4,3,4,2,2,4
P67,4,3,4,4,3,4,3,4,4,3,4,4,4,3,2,4,4
P68,2,3,4,4,4,4,3,2,2,4,4,4,3,2,3,3,3
P69,2,4,5,3,4,4,4,4,4,2,2,2,4,2,4,4,5
P70,1,2,3,5,1,5,4,2,2,2,3,5,5,1,4,4,4
P71,3,5,4,3,1,5,5,4,3,3,3,5,5,1,3,3,3
P72,4,3,2,2,2,3,3,4,3,3,4,4,4,3,4,3,4
P73,1,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3
P74,4,1,2,3,3,2,5,3,3,4,4,4,5,3,2,2,5
P75,2,2,2,2,2,4,4,5,3,3,4,4,4,2,4,2,4
P76,1,5,3,4,3,2,2,3,3,4,4,4,4,3,3,2,3
P77,3,3,4,4,3,4,3,3,3,4,3,3,4,3,3,3,3
P78,2,4,4,4,3,4,4,4,3,4,4,4,4,3,2,2,4
P79,3,3,3,5,4,3,3,3,3,2,4,3,2,2,2,2,2
P80,2,3,3,3,2,4,4,3,3,4,4,4,4,2,2,2,3
P81,4,5,5,2,4,4,4,4,3,4,4,5,5,2,4,2,4
P82,4,2,3,1,2,4,4,5,5,3,4,3,2,3,3,2,4
P83,2,2,4,4,4,4,3,3,3,4,4,4,2,4,2,2,4
P84,4,5,5,4,4,5,4,4,5,3,3,4,4,2,4,3,5
P85,3,3,4,2,2,4,4,3,2,3,3,2,4,3,2,2,2
P86,2,2,5,2,5,4,5,3,1,5,5,4,2,3,3,5,5
P87,2,3,4,4,2,4,2,4,4,2,3,1,5,2,1,4,4
P88,4,3,4,4,4,4,4,3,3,3,3,4,4,2,2,2,2
P89,4,3,3,4,2,4,4,3,3,4,3,3,3,2,3,3,4
P90,4,3,4,4,1,4,3,3,3,3,2,4,3,2,3,3,4
P91,2,3,5,5,4,4,4,3,3,4,4,2,3,2,2,2,4
P92,3,2,4,4,5,5,3,3,3,4,4,2,4,1,3,1,4
P93,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P94,4,4,3,4,2,4,3,4,4,3,3,4,4,3,2,2,3
P95,4,4,3,1,2,3,4,4,4,2,2,4,3,2,2,1,2
P96,3,4,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3
P97,3,3,3,3,3,4,3,3,3,4,3,5,4,3,3,3,4
P98,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P99,3,2,3,2,4,4,3,3,3,4,3,5,4,3,2,4,3
P100,2,3,4,4,2,4,3,3,3,3,3,4,4,2,2,3,4
P101,4,3,4,2,4,4,4,4,3,3,3,2,3,2,3,3,4
P102,4,1,2,4,5,2,2,4,2,2,2,5,1,3,2,2,2
P103,5,5,4,3,3,5,4,4,4,4,2,5,4,2,4,3,4
P104,1,2,4,2,2,4,2,4,4,4,4,3,4,2,2,2,4
P105,3,4,4,4,4,4,4,4,3,3,3,4,4,2,3,3,5
P106,2,4,5,4,2,5,4,3,3,3,3,4,4,2,4,4,4
P107,2,3,4,2,4,5,4,4,4,4,3,5,4,2,3,3,5
P108,4,3,4,2,4,4,3,4,3,2,3,2,2,2,4,4,4
P109,4,2,3,2,5,4,2,2,2,2,2,2,5,2,2,2,2
P110,3,2,1,2,2,3,4,1,3,3,5,4,3,2,2,2,4
P111,2,2,5,5,5,5,4,4,4,4,3,4,4,2,4,4,5
P112,2,3,5,2,4,4,3,4,4,3,3,4,3,2,2,2,3
P113,,,,,,,,,,,,,,,,,
P114,3,2,4,3,2,4,5,4,1,2,2,4,4,2,2,2,5
P115,3,2,4,2,3,5,5,4,3,4,4,4,5,3,5,4,4
P116,3,4,4,5,3,4,4,3,2,3,3,5,4,3,2,2,3
P117,2,4,4,4,4,5,5,4,4,3,2,3,4,1,4,4,5
P118,2,4,5,4,4,4,4,4,4,4,4,5,4,1,3,3,4
P119,2,2,4,4,3,4,3,4,4,4,3,4,4,2,2,2,3
P120,2,4,4,4,4,2,5,4,5,1,3,2,5,1,1,1,5
P121,3,1,3,3,3,4,4,3,3,3,3,4,4,2,3,3,3
P122,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
P123,5,3,5,4,5,5,4,5,5,3,3,5,5,5,5,5,5
P124,1,3,2,4,4,4,3,3,4,5,4,4,4,3,2,2,2
P125,2,3,4,5,4,4,4,3,3,3,3,3,3,3,3,4,3
P126,2,2,5,3,3,5,5,3,3,3,3,4,5,3,3,3,3
P127,2,4,4,4,5,4,4,4,4,3,3,4,4,2,3,2,3
P128,3,2,4,3,4,4,3,3,4,4,4,4,3,3,3,3,4
P129,3,4,4,3,4,4,3,3,4,3,4,4,2,3,3,5,5
P130,2,2,5,4,4,5,5,3,3,2,2,5,5,2,3,2,5
P131,1,3,4,4,3,5,3,2,1,5,4,3,4,3,2,3,3
P132,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,2,4
P133,1,3,3,4,4,4,4,1,4,5,5,5,5,5,3,2,3
P134,4,3,4,4,4,5,3,4,1,4,3,3,3,2,3,2,5
P135,4,5,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4
P136,4,4,4,4,2,3,3,2,4,3,4,4,3,2,2,1,1
P137,3,3,4,4,4,4,5,2,2,4,4,4,5,2,3,2,4
P138,2,5,4,5,2,4,4,5,3,1,4,5,5,1,2,4,4
P139,2,4,4,4,4,4,4,4,4,3,3,4,4,1,3,3,4
P140,3,2,3,2,3,3,2,4,2,3,3,4,3,2,2,3,2
P141,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P142,4,5,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4
P143,5,3,5,4,5,5,4,5,5,3,3,5,5,5,5,5,5
P144,2,3,4,5,4,4,4,3,3,3,3,3,3,3,3,4,3
P145,1,3,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3
P146,2,3,4,4,2,4,3,5,2,4,3,5,4,2,4,1,3
P147,4,4,2,2,4,4,4,1,1,5,5,5,4,3,2,4,4
P148,2,3,4,3,3,4,4,2,3,4,4,5,4,2,2,2,4
P149,3,2,4,4,2,4,4,3,2,4,4,4,4,2,2,2,4
P150,5,3,5,5,3,4,4,5,3,2,2,4,3,2,4,4,4
P151,3,2,2,4,4,4,4,3,4,3,4,3,4,4,3,4,4
P152,1,5,5,3,5,5,5,5,5,3,3,5,5,5,3,5,5
P153,2,3,2,2,3,3,4,3,4,2,3,4,4,3,4,3,4
P154,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5
P155,2,2,2,2,2,4,2,2,2,4,4,2,4,3,2,2,4
P156,4,3,3,3,5,4,5,4,4,3,4,4,3,2,3,3,4
P157,3,3,4,3,2,4,4,3,2,3,4,3,2,2,3,3,4
P158,3,5,3,5,5,3,3,5,5,5,5,1,4,4,1,1,5
P159,3,1,5,3,3,4,2,4,4,3,3,5,4,5,2,2,3
P160,2,4,5,4,5,5,4,3,3,2,2,4,4,2,4,4,4
P161,4,1,2,5,4,2,2,3,3,5,2,5,2,5,2,3,3
P162,4,4,4,3,2,4,2,3,3,2,4,4,4,3,3,3,3
P163,2,4,4,4,4,,4,3,3,3,4,5,4,2,2,3,4
P164,2,3,4,4,5,4,4,3,3,3,3,4,4,3,3,3,4
P165,2,3,3,4,4,3,3,3,3,2,4,4,2,4,2,2,2
P166,2,2,3,3,1,4,4,3,2,3,3,4,4,2,2,2,3
P167,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P168,2,2,4,2,2,4,3,4,4,4,4,4,3,2,2,2,3
P169,2,5,5,2,4,5,4,3,2,2,4,5,5,3,3,3,4
P170,1,4,4,4,5,4,4,3,3,4,4,3,4,2,4,3,4
P171,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3
P172,5,3,3,3,5,4,,4,1,1,3,2,2,2,3,4,3
P173,1,4,3,4,4,4,4,3,3,3,3,4,4,2,3,3,4
P174,2,3,4,4,4,4,,3,2,2,3,3,3,2,4,4,4
P175,5,5,3,2,4,3,4,3,3,3,3,4,4,3,2,2,3
P176,1,4,4,2,4,4,4,3,3,4,4,4,5,3,3,2,4
P177,4,4,5,5,4,,5,4,4,4,3,4,4,1,2,3,5
P178,1,4,2,4,4,,2,3,3,,3,3,3,3,3,3,3
P179,2,4,4,4,4,5,5,4,3,4,3,4,4,1,3,4,5
P180,4,2,2,2,5,4,3,4,4,2,4,2,2,2,2,4,4
P181,2,4,3,4,3,4,4,3,3,3,3,4,3,2,3,3,4
P182,2,3,4,1,2,4,4,5,2,4,3,4,4,2,2,3,4
P183,2,3,4,4,4,4,3,2,3,3,3,2,4,3,3,3,4
P184,2,3,3,4,3,4,4,3,4,2,1,4,4,3,2,3,5
P185,3,4,4,4,5,5,4,3,3,2,3,2,4,2,3,4,4
P186,1,3,5,4,4,5,4,5,4,5,5,4,4,3,2,3,4
P187,1,4,4,5,4,4,4,3,3,2,2,5,5,2,4,4,5
P188,2,4,5,5,4,4,4,4,2,4,3,4,4,2,4,4,4
P189,4,5,4,3,5,5,3,4,4,3,4,5,5,4,3,2,4
P190,2,2,2,5,3,2,2,4,2,3,5,5,2,1,1,1,3
P191,4,3,4,3,4,4,3,3,3,4,2,4,2,2,3,2,4
P192,3,3,3,4,4,4,3,2,2,3,3,4,4,3,2,3,3
P193,2,4,2,3,2,4,4,4,4,2,2,2,3,2,2,4,4
P194,2,2,4,4,3,4,4,2,2,4,4,4,4,2,2,2,2
P195,4,3,4,4,4,4,4,4,2,2,2,3,4,2,2,2,3
P196,2,4,4,4,2,4,4,4,2,2,4,4,4,4,4,2,4
P197,4,2,4,3,2,4,4,3,3,4,4,5,4,3,4,4,4
P198,2,4,5,2,1,5,4,4,3,4,4,5,5,2,3,2,4
P199,4,2,5,4,2,4,4,4,4,3,2,4,4,2,3,3,4
P200,2,4,4,5,3,4,4,3,3,2,3,4,5,1,4,4,5
P201,4,3,3,2,4,4,3,4,3,2,3,4,4,2,3,2,3
P202,4,3,5,2,2,5,4,5,5,4,3,5,4,3,2,4,5
P203,1,4,3,5,4,4,4,3,3,3,3,5,4,1,1,2,4
P204,3,2,3,4,2,3,4,3,3,4,2,3,4,2,2,2,4
P205,3,3,4,4,4,4,4,3,3,4,4,4,4,3,2,3,3
P206,2,3,4,4,5,4,4,3,4,4,4,3,5,3,3,2,5
P207,2,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4
P208,4,4,4,4,3,3,4,3,3,3,3,3,2,3,3,3,3
P209,3,3,3,3,3,2,2,3,2,4,2,2,2,2,2,2,2
P210,1,4,5,5,4,5,4,4,4,5,5,4,5,2,1,1,5
P211,2,3,4,3,3,4,4,3,2,3,3,4,4,2,4,4,4
P212,4,2,2,2,2,4,4,2,4,4,4,5,5,3,2,2,2
P213,2,3,4,3,3,4,4,3,3,2,2,4,4,3,3,3,4
P214,4,2,4,1,2,5,3,4,3,4,4,4,4,1,2,4,4
P215,3,4,3,4,3,5,4,4,4,3,4,5,5,2,3,3,4
P216,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P217,3,1,3,2,1,2,1,2,1,4,5,5,4,3,1,2,4
P218,2,1,4,3,2,3,2,4,3,4,4,3,3,5,1,1,4
P219,2,1,3,3,2,4,2,2,2,4,4,3,4,2,2,2,2
P220,2,2,4,5,2,4,4,1,2,4,3,4,4,2,,4,4
P221,4,1,1,3,1,2,2,1,1,3,4,3,4,3,1,1,1
P222,3,4,5,3,2,4,5,5,4,3,4,4,4,2,3,4,4
P223,2,3,4,4,3,4,4,4,4,4,3,4,4,2,2,2,3
P224,4,3,4,4,2,4,3,4,3,4,3,4,3,3,3,3,3
P225,3,2,2,3,1,4,4,2,2,4,2,5,5,1,1,1,2
P226,2,2,1,3,5,3,1,3,4,4,4,2,4,2,2,3,3
P227,3,3,4,4,4,4,4,1,1,3,3,4,4,1,3,3,4
P228,2,2,4,4,3,4,3,4,3,3,3,2,4,3,2,3,4
P229,2,2,4,4,3,5,3,4,3,3,3,5,4,3,3,3,3
P230,4,2,5,3,2,4,4,5,5,4,3,5,3,2,2,3,4
P231,2,2,3,3,3,3,3,1,3,3,3,2,5,2,1,2,4
P232,2,4,,4,3,3,4,2,2,2,2,4,4,2,3,2,3
P233,1,1,2,5,4,3,2,4,5,5,5,5,5,5,1,1,1
P234,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2
P235,2,1,5,1,3,4,4,5,3,1,5,4,5,1,4,1,5
P236,3,2,4,4,3,4,4,4,4,1,1,4,5,2,2,2,4
P237,4,1,4,4,4,4,2,4,4,4,4,5,2,2,2,2,4
P238,2,2,2,3,4,4,3,2,2,4,4,4,4,2,3,2,3
P239,2,4,2,5,4,4,5,3,2,3,3,5,5,5,3,3,5
P240,3,1,3,3,1,3,3,3,3,4,4,1,3,4,3,3,3
P241,2,3,2,4,1,4,4,4,3,5,5,4,4,3,2,4,5
P242,3,4,4,4,3,4,3,3,3,4,4,4,3,2,3,3,5
P243,4,2,4,2,5,5,3,3,3,3,3,4,4,2,3,3,5
P244,2,4,4,4,4,5,4,3,3,3,2,4,4,2,4,4,4
P245,1,2,3,3,4,3,4,3,3,4,3,4,4,3,3,3,4
P246,2,5,5,2,4,5,4,3,2,2,4,5,5,3,3,3,4
P247,4,3,5,2,2,5,4,5,5,4,3,5,4,3,2,4,5
